# x,f(x)
0.7282,2.6327
7.9438,-0.2807
0.5782,2.4267
0.3997,1.8958
5.6955,1.2757
7.8508,-0.6656
9.9413,0.3875
1.6095,1.6902
9.4423,2.3298
9.1122,3.0489
5.0357,2.8271
3.2884,-2.6323
3.9801,-0.1164
5.4982,2.0522
8.4429,1.9336
5.4886,2.2280
7.7670,-1.0859
8.5917,2.3813
1.6807,1.6049
5.6050,1.7000
1.0060,3.0660
6.1619,-0.6999
8.3591,1.6916
5.7291,1.2504
0.0705,0.2100
1.4101,2.4119
6.4221,-1.7948
3.3310,-2.3719
8.8030,2.8496
2.8236,-2.8407
8.1729,0.8420
2.3439,-1.5060
9.9123,0.4763
4.3757,1.7811
6.6331,-2.6328
3.0481,-2.9275
2.0804,-0.4028
8.9697,2.9311
1.5058,2.1166
0.5572,2.2001
2.5526,-2.1956
0.6944,2.5289
1.4870,2.1635
8.6592,2.4522
1.8475,0.8509
9.2558,2.7638
1.9633,0.3366
0.5161,2.2056
6.0872,-0.3314
6.7691,-2.6460
0.9940,2.8896
1.0508,2.9299
3.0709,-3.2576
2.0972,-0.4328
9.9524,0.2195
8.9045,3.1684
0.0902,0.2516
0.9041,3.0319
1.5466,2.0212
6.1734,-0.6376
7.3891,-2.4102
0.3325,1.5849
8.1873,0.9511
9.9209,0.3535
6.4984,-2.1071
4.2486,0.9794
8.0902,0.5077
0.2671,1.3691
7.8040,-0.9654
9.5359,1.8976
7.1229,-3.0351
0.0980,0.4753
8.3606,1.5081
7.5331,-2.0464
7.6699,-1.5664
2.5167,-2.1158
7.3044,-2.6508
3.2195,-2.6981
5.5706,1.8461
5.3155,2.7297
7.1171,-2.8929
1.2206,2.8069
5.4706,2.3395
0.9179,3.0848
7.5149,-2.0728
4.1042,0.3358
1.8382,0.8770
2.2893,-1.2821
1.8121,0.9169
9.0600,3.0861
3.7535,-1.1116
3.5765,-1.9028
3.8256,-0.6142
7.0508,-3.0152
1.3008,2.5374
1.6771,1.4456
9.8287,0.7816
7.9625,-0.1924
8.6422,2.4918
5.6015,1.9379
4.0647,0.4366
6.5711,-2.4432
5.3938,2.3960
7.9286,-0.3282
3.1672,-2.8587
9.3973,2.3934
7.1468,-2.9189
4.2498,1.1246
9.2488,2.6134
4.1243,0.5821
0.3250,1.5135
8.5495,2.4082
6.4725,-2.0985
3.0785,-2.9898
4.0731,0.3711
1.7624,1.0441
8.3010,1.4171
5.0014,3.1144
8.8461,2.9288
6.4958,-2.1986
3.5217,-2.1410
8.0960,0.3037
5.5928,1.8451
2.9960,-2.9278
3.7807,-0.7716
5.1589,2.7160
8.3421,1.6155
2.2615,-1.3380
2.4122,-1.8363
3.6066,-1.7417
7.4294,-2.3736
1.7350,1.2965
1.5290,2.1916
3.9216,-0.4463
5.5511,1.6305
3.9635,-0.3110
8.4476,1.8809
1.1916,2.7451
5.6161,1.7721
1.9137,0.6018
6.9214,-2.8185
7.4361,-2.2584
5.8964,0.5468
8.2617,0.9069
9.7400,1.0965
7.1520,-2.9274
7.3465,-2.3151
6.2231,-1.0475
5.6863,1.2280
